,commenter_id,commenter_name,comment_text,comment_time
0,100026226853818,Lê Phương Anh,Kien Pham Thuỳ Trang,2023-11-28 23:42:00
1,100004081241345,Bin Nguyễn,ác =))),2023-11-28 23:14:00
2,100047325651298,Nguyễn Kim Hoàng Anh,Trần Lương nhỏ này gọi con cà ty🥸,2023-11-28 23:01:00
3,100044112216057,Trần Lương,Nguyễn Kim Hoàng Anh con cà ty có pàu,2023-11-28 23:32:00
4,100013708272492,Lương Quốc Bảo,Mai N. Hà con thanh long ruột đỏ 🥰,2023-11-28 23:00:00
5,100008353950008,Anh Nguyễn,Linh Lục buồn 😔,2023-11-28 23:56:00
6,100004732815107,Mai Hoàng Lê,Na Yu,2023-11-28 23:24:00
7,100076520714060,Na Yu,Mai Hoàng Lê là seo,2023-11-28 23:39:00
8,100004732815107,Mai Hoàng Lê,Na Yu hong bít trend mì thanh long hẻ,2023-11-28 23:40:00
9,100076520714060,Na Yu,Mai Hoàng Lê bít mà ko bitd cái này,2023-11-28 23:41:00
10,100005284680090,Đỗ Nguyễn Nguyệt Anh,Huỳnh Lâm Huy ác 💀,2023-11-28 23:00:00
11,100015326628632,Trần Thúy Ngân,Thùy Trang Trần 🥰🥰,2023-11-28 23:00:00
12,100063358236426,Duong Minh Tan,em hả Khang Lê,2023-11-28 23:00:00
13,100039983102300,Linh Lê,Hồng Hạnh Nguyễn 🐛`,2023-11-28 23:32:00
14,100009594216672,Nam Phuong,Lê Diễm Quỳnh 😭 sao mì thanh long lại có con bò,2023-11-28 23:00:00
15,100023046043528,Lê Diễm Quỳnh,Nam Phuong ê tưởng con rồng?,2023-11-28 23:04:00
16,100006276435548,Vee Peach,Hai Hoang Dang Minh=))))))))))))))\n)))))))))),2023-11-28 23:00:00
17,100005980350487,Ngân Anh,Hải Hải =)))i,2023-11-28 23:47:00
18,100056940431614,Khanh Minh,Phuong Nhi,2023-11-28 23:00:00
19,100005447653480,Ngoc Diep,Nguyễn Duy,2023-11-28 23:01:00
20,100033542505623,Nguyen Phuong Nhi,Nguyễn Duy,2023-11-28 23:00:00
21,100044154259859,Hoàng Bích Tâm,Nguyễn Thị Thảo,2023-11-28 23:04:00
22,100007633068154,Oanh Trần,Nguyễn An Na =))),2023-11-28 23:04:00
23,100003052777429,Nguyễn An Na,Oanh Trần ai biểu xấu chi hehe,2023-11-28 23:11:00
24,100066434350260,Insight mất lòng,“Instagram đáng sợ quá” 🥹,2023-11-28 22:00:00
25,100087259933817,BeaBag - 4BagStyle,Túi này sang fb em bài đầu ạ 💕,2023-11-28 23:03:00
26,100084628331716,Nguyen Huong Giang,Anh sự thật thì luôn luôn đơn giản nhưng mà people make it complicated =)))),2023-11-28 23:04:00
27,100070204867651,Buôn dưa lê,Insight mất lòng douma liều 🤡,2023-11-28 23:12:00
28,100008431350654,Chou Tran,Thuy Anh =))) sợ chưa đừng dùng nữa,2023-11-28 23:13:00
29,100016538504948,Minh Thị Nguyệt Mạc,"Phuong Minh Minh thật mang ảnh ngta ra đăng bài xong kêu phong long, viết còn trích dẫn trong ngoặc kép, admin nết gì dơ dáy :))",2023-11-28 23:19:00
30,100021901066497,Gia Thảo,Trần Kim Ngân Phan My Linh,2023-11-28 23:22:00
31,100006207521455,Hạnh Trang Hoàng,Insight mất lòng Mai Linh,2023-11-28 23:22:00
32,100043998683961,Dương Bạch,Huyền Thanh ê câu này quen quen :>,2023-11-28 23:24:00
33,100025730558481,Yen Nhi,Minh Khoa Nguyen áccc,2023-11-28 23:24:00
34,100059452297278,Minh Khoa Nguyen,Yen Nhi keep this not arising :>,2023-11-28 23:25:00
35,100093635230019,Minnie Ng,Insight mất lòng =)))))),2023-11-28 23:26:00
36,100017681719355,Việt Chương,Insight mất lòng nể,2023-11-28 23:29:00
37,100001919865630,Trần Quỳnh Trang,Đặng Thu Hà =)))))))),2023-11-28 23:30:00
38,100008529243571,Vy Thao Nguyen,Quỳnh Annh liều mạng =))),2023-11-28 23:30:00
39,100070184692559,Thuy Tien,Insight mất lòng cẩn thận nha má :)),2023-11-28 23:41:00
40,100011986182006,Minh Quế,Insight mất lòng Lê Dung ad gan dữ,2023-11-28 23:42:00
41,100080617185383,Tell The Truth,Phuong Minh Minh s không nghĩ ý nó là anh V đăng Instagram phong long mà có nhà nào đó tự ướm vào mình 👀,2023-11-28 23:57:00
42,100090741515031,Ngoc My Y Tran,Insight mất lòng rất mất dạy.,2023-11-28 23:57:00
43,100092532422781,Rose Su,Insight mất lòng yên ổn quá chịu không nổi hay gì á,2023-11-28 23:58:00
44,100004298524837,Quỳnh Trần,Cát Dung thg ad lìu :))),2023-11-29 00:00:00
45,100066434350260,Insight mất lòng,Fact: 100% story phong long đều ko hề phong long =))),2023-11-28 22:00:00
46,100071499092552,Tăng Tương Tác MXH,Tăng Tương Tác MXH,2023-11-28 23:00:00
47,100013370645168,Khánh Vân Đặng,Huỳnh Gia Hân,2023-11-28 23:00:00
48,100011684384342,Huỳnh Gia Hân,Khánh Vân Đặng nhãm dui dẻ z hoi,2023-11-28 23:00:00
49,100080089305622,Sơn Hải,"Insight mất lòng ai, ai hỏi mà bộ trưởng trả lời",2023-11-28 23:00:00
50,100092629819491,Nguyễn Nam Phương,Ngoc Bich Nguyen,2023-11-28 23:00:00
51,100087259933817,BeaBag - 4BagStyle,Túi này sang fb em bài thứ 3 ạ 💕,2023-11-28 23:03:00
52,100054394056129,Thu Hải,:)) nét nhỉ,2023-11-28 23:00:00
53,100014029366093,Bùi Châu,Phong long có chủ đích cả :)))))))),2023-11-28 23:00:00
54,100018843638332,Võ Thị Phương Uyên,=))),2023-11-28 23:00:00
